Apple,DryMatter,430,434,438,442,446,450,454,458,462,466,470,474,478,482,486,490,494,498,502,506,510,514,518,522,526,530,534,538,542,546,550,554,558,562,566,570,574,578,582,586,590,594,598,602,606,610,614,618,622,626,630,634,638,642,646,650,654,658,662,666,670,674,678,682,686,690,694,698,702,706,710,714,718,722,726,730,734,738,742,746,750,754,758,762,766,770,774,778,782,786,790,794,798,802,806,810,814,818,822,826,830,834,838,842,846,850,854,858,862,866,870,874,878,882,886,890,894,898,902,906,910,914,918,922,926,930,934,938,942,946,950,954,958,962,966,970,974,978,982,986,990
A1,0.160236611,0.000291545,0.006418629,0.012640928,0.014690179,0.013423038,0.012594918,0.0162084,0.019821941,0.018613385,0.015112653,0.012899295,0.012492857,0.012087861,0.011540298,0.010993884,0.010331549,0.00923062,0.00813106,0.006911488,0.005651595,0.004889452,0.005386848,0.005885556,0.006530345,0.007907842,0.009284462,0.012533248,0.016312243,0.018446757,0.015929844,0.014562019,0.019920365,0.025278791,0.022581233,0.016203741,0.017678977,0.025099466,0.033059652,0.044774724,0.056489777,0.06973247,0.084589215,0.09944413,0.11787923,0.137076342,0.156280956,0.175302393,0.194324541,0.215840784,0.238146416,0.257963333,0.270939029,0.283792276,0.293754663,0.303636875,0.311653687,0.315320919,0.318986907,0.317066977,0.311578499,0.306122585,0.314367247,0.325309154,0.355414852,0.406288426,0.455284672,0.497869288,0.540171485,0.561040764,0.579232452,0.592459365,0.60252476,0.6125899,0.617405164,0.618179535,0.618950046,0.618564123,0.618002218,0.618613293,0.619729404,0.620893164,0.622635179,0.624395388,0.626199823,0.628091749,0.629954713,0.631731148,0.633508868,0.634282021,0.635020711,0.637419689,0.639832829,0.642237369,0.644818498,0.64739563,0.649826366,0.647911775,0.645677691,0.642746856,0.639530031,0.636407788,0.63391356,0.631425392,0.630500072,0.632142848,0.633361007,0.633074455,0.632788611,0.636283524,0.642116289,0.646748843,0.646749598,0.646542975,0.639710605,0.631954581,0.622405968,0.609282289,0.601120813,0.602281935,0.603443242,0.603721343,0.598773061,0.593215023,0.586931958,0.58065025,0.572716574,0.56334693,0.55287679,0.541366039,0.529854883,0.518371082,0.508149952,0.498069156,0.489183392,0.480864853,0.474818048,0.47633269,0.477850694,0.478670459,0.472736472,0.466919236
A2,0.158773964,0.025996397,0.031089112,0.03625576,0.038229854,0.037536671,0.037399752,0.042977694,0.048555273,0.047988108,0.044394727,0.041717985,0.040388641,0.039059434,0.038352803,0.037888071,0.037682627,0.038033304,0.038383838,0.038363169,0.038206982,0.038418272,0.039667512,0.040916638,0.042298024,0.044332421,0.046366995,0.050667624,0.055646157,0.059192264,0.058361379,0.0587179,0.066827472,0.074936656,0.078561367,0.079925355,0.089237474,0.105031159,0.121255704,0.141188332,0.161121898,0.182357804,0.205141759,0.22792537,0.250264577,0.272480983,0.293642983,0.309264006,0.324884322,0.339982453,0.354876991,0.3669675,0.370242806,0.37322643,0.367098991,0.360605478,0.352824601,0.341690306,0.330555397,0.314600979,0.295341631,0.276092937,0.277827112,0.28417118,0.316754203,0.379699465,0.441263207,0.49706667,0.552658084,0.580002454,0.603186165,0.619073226,0.62981141,0.64054926,0.645263,0.644971766,0.644676498,0.643067689,0.641229443,0.640392716,0.640031684,0.639710958,0.64019545,0.640701152,0.641243689,0.64187698,0.642566748,0.643710302,0.644857497,0.645449177,0.646050239,0.647658904,0.649280288,0.650911868,0.653403676,0.655972953,0.65842948,0.655994474,0.653079598,0.649801425,0.646325729,0.642926683,0.640325035,0.637730835,0.636585749,0.638011706,0.639034681,0.63865175,0.638269568,0.641517209,0.647250614,0.651948808,0.651966273,0.651849843,0.644943976,0.636911394,0.627068837,0.613136334,0.604357325,0.606520838,0.60868386,0.609708128,0.602401331,0.595662185,0.589858925,0.584055451,0.575789759,0.565098934,0.553518465,0.54093167,0.528344989,0.515786702,0.50573293,0.496060438,0.487391738,0.479192846,0.472996471,0.475003405,0.477016155,0.47842336,0.471216182,0.463830199
A3,0.16038654,0.018607185,0.024146869,0.029758835,0.032089795,0.031671351,0.031751808,0.037798553,0.043844105,0.043707848,0.040381095,0.037906658,0.036670079,0.0354339,0.035098295,0.035106129,0.035326646,0.036128143,0.036928196,0.037177421,0.037218839,0.037620735,0.038969335,0.040318416,0.041721588,0.043545638,0.045370016,0.049154035,0.053531317,0.056540775,0.055313992,0.05512621,0.062109357,0.069092783,0.071041774,0.070421647,0.076933195,0.089435112,0.102249379,0.118346543,0.134443055,0.151443404,0.169527083,0.18761078,0.206524366,0.225646953,0.244395525,0.260652385,0.276908602,0.294542255,0.312606107,0.32864862,0.337944116,0.347145044,0.351287616,0.35517465,0.357513739,0.355567584,0.353621772,0.346705319,0.336178043,0.325656621,0.331295907,0.340854585,0.370549501,0.424980768,0.476842615,0.519722875,0.562484546,0.583868633,0.60169764,0.614365239,0.623111502,0.631857815,0.635619146,0.635022608,0.634427877,0.633125598,0.63168292,0.631403497,0.631712376,0.632053211,0.633003319,0.633981438,0.635115253,0.636577072,0.638072285,0.639780109,0.641490839,0.641802856,0.641794549,0.643477152,0.645187173,0.646898644,0.649789559,0.652788043,0.655689121,0.653465518,0.65070006,0.647456556,0.643935569,0.640504156,0.637995895,0.635496161,0.634346311,0.635831541,0.636978655,0.636588286,0.636195802,0.639091525,0.644499729,0.649194166,0.649759649,0.650184854,0.643093773,0.634637371,0.624599137,0.610793789,0.602213892,0.605645929,0.609078385,0.611086665,0.601480184,0.593661778,0.588914458,0.584166798,0.576103061,0.564588519,0.552563199,0.539851635,0.527140433,0.514500493,0.504859596,0.495689095,0.487164455,0.479026474,0.472898344,0.475677984,0.478473843,0.480550133,0.472261988,0.46363673
A4,0.158700979,0.012657134,0.017292711,0.022005644,0.023456653,0.022129618,0.02125399,0.025827976,0.030401119,0.02966678,0.026159631,0.023715339,0.022970061,0.022224586,0.021732794,0.021323404,0.02091848,0.020473624,0.02002748,0.019360885,0.018606413,0.018237628,0.018976681,0.019715183,0.020590249,0.022233726,0.023878282,0.027701261,0.032193767,0.035134795,0.033210567,0.03233303,0.038836105,0.045338904,0.045790427,0.043066475,0.048002237,0.05943347,0.071248953,0.086823618,0.102397963,0.11932704,0.137889088,0.156451879,0.177730306,0.199801409,0.221698198,0.242854171,0.264010172,0.286503232,0.309556594,0.330569655,0.344775559,0.358881938,0.368949112,0.378839497,0.386993398,0.390209809,0.393425931,0.391191753,0.384802129,0.378418263,0.386066717,0.397176629,0.423559174,0.469086253,0.511758089,0.544122594,0.576397919,0.592228617,0.605270742,0.614320444,0.620308988,0.626297141,0.628454835,0.627178799,0.625904068,0.624358093,0.622720724,0.622193335,0.62226717,0.622379306,0.623546446,0.624758283,0.62607902,0.627598875,0.629144273,0.630983656,0.632826291,0.633242521,0.633220521,0.634962318,0.636727655,0.638488898,0.641169332,0.643957188,0.646687543,0.644782259,0.642317205,0.639167316,0.635679973,0.632273212,0.629747595,0.627234481,0.6260439,0.62757451,0.628804867,0.628438537,0.628069544,0.630901342,0.636241405,0.640873999,0.641472114,0.641951867,0.634762534,0.626099468,0.615851223,0.601567619,0.592796819,0.597243417,0.601690337,0.604456362,0.593395177,0.584865046,0.580476202,0.576086782,0.567946803,0.555774655,0.543173119,0.529909863,0.516647321,0.503462319,0.493742301,0.484589432,0.47594909,0.467675508,0.461354035,0.464460853,0.467590214,0.470054787,0.461089628,0.451577179
A5,0.166512195,0.023069869,0.027689321,0.032377116,0.034376474,0.034069564,0.034226554,0.039954392,0.045683028,0.045385517,0.041957851,0.039541195,0.038673414,0.037804927,0.037359462,0.03708048,0.036816377,0.036588466,0.036360364,0.036033486,0.035649179,0.035624455,0.036625507,0.037626635,0.038735435,0.040549204,0.042361687,0.046352174,0.051022023,0.054234723,0.052727588,0.052231135,0.059257397,0.066283494,0.06808222,0.06701124,0.073553364,0.086745399,0.100274675,0.117497426,0.134719868,0.153084413,0.172852074,0.192620748,0.213258668,0.234167897,0.254432031,0.271144623,0.287857286,0.305282525,0.322999173,0.338172679,0.344672313,0.351009438,0.350560241,0.349785273,0.347518477,0.341081791,0.334645326,0.323053635,0.307674837,0.29229994,0.294991245,0.301976988,0.331794359,0.389656863,0.445654057,0.494366528,0.542983029,0.567138796,0.587144786,0.601183145,0.610656132,0.62012985,0.624538766,0.624366157,0.624193684,0.622904304,0.621390717,0.620923245,0.620979173,0.621064671,0.621927143,0.622822984,0.62372994,0.624724594,0.625797775,0.627479649,0.629164828,0.629175273,0.628546503,0.630069251,0.631622848,0.633186385,0.635875481,0.638686541,0.641442977,0.639438776,0.636844837,0.633911879,0.630796409,0.627716221,0.625093239,0.622477883,0.62130832,0.62316569,0.624694831,0.624441618,0.624185307,0.626894928,0.631951919,0.636362733,0.637059031,0.637663113,0.630611396,0.622089833,0.611944656,0.597717119,0.589213555,0.594305619,0.599397384,0.60270929,0.590975296,0.582280119,0.578593196,0.574905528,0.567099575,0.554686742,0.542323548,0.529912476,0.517501874,0.505120155,0.495821512,0.487090716,0.479085319,0.471442863,0.465573148,0.469164003,0.472777143,0.47584315,0.466458594,0.456313515
A6,0.15540666,0.00082285,0.006287071,0.011829777,0.013955162,0.013252808,0.013004579,0.017436919,0.021869213,0.020982431,0.017519907,0.01532868,0.014966505,0.014604294,0.014042273,0.013464155,0.01279845,0.011818635,0.010840183,0.009679259,0.008446536,0.007686713,0.008136764,0.008585875,0.009157175,0.010426374,0.011695143,0.014836833,0.018520298,0.020629707,0.018068285,0.016530071,0.021456684,0.026383694,0.023696847,0.017263102,0.018622466,0.026114216,0.034067694,0.045871572,0.057675548,0.071650753,0.088009206,0.104366808,0.126002193,0.14900235,0.172050895,0.195659523,0.219270302,0.245339384,0.272273728,0.296650687,0.31356167,0.330276193,0.341554753,0.352656085,0.361244845,0.363514407,0.365784383,0.360928686,0.35122534,0.341559939,0.347438772,0.35654285,0.385995676,0.438058146,0.487205477,0.527171446,0.566846014,0.585613287,0.601464701,0.612294,0.619753637,0.627212832,0.630078999,0.629226955,0.628370288,0.626764086,0.625032263,0.624687359,0.62497295,0.625302485,0.626527286,0.627788474,0.629110156,0.630499513,0.63198118,0.634012281,0.636044952,0.636265596,0.63608291,0.637780282,0.639495499,0.641242309,0.644172612,0.647196104,0.650052566,0.647616758,0.644689296,0.641615389,0.638437175,0.635293586,0.632686068,0.630082917,0.629070306,0.630808733,0.632040906,0.631301832,0.630558265,0.633226278,0.638142347,0.64237732,0.643571334,0.644508023,0.636903292,0.627964761,0.617203936,0.602562585,0.594642265,0.599870349,0.605099554,0.607737917,0.594935815,0.58620969,0.582973253,0.579737044,0.571752093,0.55920428,0.546215643,0.532771518,0.519326845,0.506034085,0.496602952,0.487697408,0.479305259,0.471269334,0.465706132,0.469212972,0.472732732,0.475142872,0.464751019,0.454118017
A7,0.155644974,0.034873907,0.039626508,0.044391472,0.046937925,0.047642099,0.048961017,0.056224014,0.06348789,0.063689016,0.060561766,0.058204453,0.056759496,0.055315514,0.055223774,0.055672837,0.056784722,0.059676653,0.062568575,0.06509047,0.067445502,0.070202764,0.073872956,0.07754305,0.081089178,0.083949734,0.086810324,0.091516687,0.096766014,0.100619869,0.100446524,0.101476152,0.110135468,0.118794067,0.123306715,0.125982114,0.136066373,0.151924766,0.16813416,0.186994104,0.205853829,0.225304481,0.24518763,0.265071342,0.283080184,0.3003929,0.316805348,0.328278237,0.339750255,0.351891697,0.364147831,0.373664228,0.375654093,0.377379376,0.372736661,0.367896355,0.361433312,0.351415898,0.341397945,0.326331438,0.308346818,0.290405917,0.292181656,0.297698006,0.329074055,0.387099096,0.444361488,0.498474866,0.552247016,0.578681937,0.601814798,0.617574762,0.628539324,0.639503107,0.644409582,0.644637214,0.644861881,0.643371781,0.6416402,0.641090173,0.641057645,0.641055702,0.641671239,0.642307338,0.643044907,0.643918333,0.644847518,0.646216163,0.647586444,0.647649831,0.647441655,0.648616261,0.649801342,0.651029245,0.654193625,0.657499735,0.6606412,0.657984679,0.654841918,0.651459277,0.64795409,0.644519976,0.641775,0.639032518,0.637952219,0.639650903,0.640889247,0.640356239,0.639823465,0.642518431,0.647235641,0.651353238,0.65290087,0.654141543,0.646150033,0.636975836,0.625957867,0.611333497,0.604002172,0.609328613,0.614654745,0.617014334,0.603929583,0.595371435,0.591886189,0.588400858,0.579738248,0.566661662,0.553394098,0.539831805,0.526269893,0.512840937,0.503285885,0.494185281,0.485662791,0.477492081,0.472044444,0.47643264,0.480820409,0.484104227,0.473089522,0.461844881
A8,0.162197861,0.028811581,0.032457908,0.036140798,0.038013974,0.038288817,0.039123104,0.044905525,0.050687057,0.050086757,0.046554293,0.043958888,0.042666333,0.041373661,0.040824794,0.040545285,0.04050265,0.040856626,0.041211818,0.04137558,0.04148156,0.041874988,0.042995323,0.044115043,0.045381967,0.047483484,0.049583949,0.053825868,0.058690146,0.062125205,0.06119613,0.061422021,0.069214499,0.077006304,0.079847977,0.080118049,0.088372136,0.103127191,0.118249786,0.136840675,0.155431268,0.17514656,0.196123885,0.217100289,0.23864057,0.260337766,0.281400605,0.299197424,0.316993549,0.335019997,0.353107599,0.368522686,0.376032036,0.383271834,0.383469419,0.383421741,0.381553182,0.375459687,0.369367259,0.357408384,0.341822327,0.326289606,0.329470783,0.336157865,0.367230895,0.424200401,0.478475482,0.524673787,0.570568478,0.592209103,0.610641032,0.622943044,0.631125375,0.639308351,0.642339265,0.641260407,0.640178617,0.638309274,0.636300757,0.635659972,0.635602625,0.635587836,0.636313714,0.637065078,0.63785736,0.638779743,0.639789516,0.641372752,0.642959067,0.643071251,0.642722927,0.644029806,0.645356925,0.646721025,0.649709377,0.652816872,0.655772724,0.653100104,0.649936589,0.646584555,0.643140282,0.639797831,0.637106447,0.634418732,0.633271218,0.634852438,0.636038572,0.63564303,0.635247359,0.637952054,0.642624407,0.646758578,0.648241262,0.649393693,0.641431553,0.632289547,0.621284544,0.60654592,0.599124118,0.604636416,0.610149784,0.612708802,0.599238376,0.590284386,0.586722942,0.583161803,0.574535245,0.561460717,0.54828728,0.53510808,0.521927799,0.508926949,0.499689663,0.490817904,0.482386609,0.474447521,0.469174902,0.473467594,0.477763846,0.480962117,0.470365082,0.459494738
A9,0.161827251,0.009388524,0.014414611,0.019507699,0.021600467,0.021177216,0.021163079,0.025578744,0.029993054,0.029194062,0.025750319,0.02335963,0.022631048,0.021902732,0.021428531,0.021033766,0.020609068,0.019983866,0.019358691,0.018620971,0.017839774,0.017411734,0.018023313,0.018635934,0.019390186,0.021006435,0.022623292,0.026273713,0.030546236,0.033278249,0.031129148,0.030001494,0.036205966,0.042410484,0.042169009,0.038420604,0.042589743,0.053555997,0.064901148,0.080139812,0.095378698,0.11214682,0.130761561,0.149375344,0.170575075,0.192532329,0.214106468,0.233860358,0.253613154,0.274937958,0.296924564,0.316532738,0.328211041,0.339745899,0.346250551,0.352557625,0.357013521,0.35648662,0.355960112,0.349636474,0.339076718,0.328519028,0.333277588,0.341503718,0.370404082,0.42401489,0.475202044,0.517778114,0.560263785,0.581031762,0.598324257,0.610410378,0.618635208,0.626858379,0.630356764,0.629665235,0.628973327,0.627491847,0.625851162,0.625520788,0.62581819,0.626145085,0.62724094,0.62836677,0.629536087,0.630789347,0.632110224,0.63406852,0.636030857,0.636050881,0.635365615,0.63689515,0.63845876,0.64003015,0.642958068,0.646020451,0.649016272,0.646676877,0.643750778,0.640591208,0.637268488,0.633942729,0.631161662,0.628389375,0.627087668,0.628601041,0.629776438,0.629424332,0.629072098,0.631685617,0.636484742,0.640724656,0.642043632,0.643232357,0.635474533,0.62615799,0.615123891,0.600069079,0.591435372,0.596917196,0.602399985,0.605772657,0.592599925,0.583124541,0.579512929,0.575901325,0.567753362,0.554765368,0.541367433,0.52748517,0.51360338,0.499790622,0.490182143,0.48123804,0.472562723,0.463939141,0.45754238,0.461943493,0.466366281,0.470056974,0.459357659,0.447905484
